Styrketräning;Workout;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9382_96square.jpg;
Handske;Glove;https://d1pra95f92lrn3.cloudfront.net/media/thumb/17263_96square.jpg;
Paraply;Umbrella;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9485_96square.jpg;
Boxershort;Boxer shorts;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9454_96square.jpg;
Nöjd;Satisfied;https://d1pra95f92lrn3.cloudfront.net/media/thumb/17909_96square.jpg;
Plågsam;Painful;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8777_96square.jpg;
Blyg;Shy;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8142_96square.jpg;
Nervös;Nerous;https://d1pra95f92lrn3.cloudfront.net/media/thumb/17344_96square.jpg;
Exalterad;Exited;https://d1pra95f92lrn3.cloudfront.net/media/thumb/21883_96square.jpg;
Generad;Embarressed;https://d1pra95f92lrn3.cloudfront.net/media/thumb/21696_96square.jpg;
Dricks;Tip;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9712_96square.jpg;
Armbåge;Elbow;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9514_96square.jpg;
Blåstorka;Hair dry;https://d1pra95f92lrn3.cloudfront.net/media/thumb/21893_96square.jpg;
Ha sönder;Break;https://d1pra95f92lrn3.cloudfront.net/media/thumb/2944_96square.jpg;
Sår;Cut;https://d1pra95f92lrn3.cloudfront.net/media/thumb/21897_96square.jpg;
Bärbor dator;Laptop;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8712_96square.jpg;
Fläkt;Fan;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8584_96square.jpg;
Spis;Stove;https://d1pra95f92lrn3.cloudfront.net/media/thumb/17239_96square.jpg;
Checka in;Check in;https://d1pra95f92lrn3.cloudfront.net/media/thumb/21899_96square.jpg;
Grundskola;Elementary school;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8264_96square.jpg;
Gymnasie;High school;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8026_96square.jpg;
Universitet;University;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9009_96square.jpg;
Ryggsäck;Backpack;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8708_96square.jpg;
Bly;Led;https://d1pra95f92lrn3.cloudfront.net/media/thumb/10057_96square.jpg;
Pennvässare;pencil sharpener;https://d1pra95f92lrn3.cloudfront.net/media/thumb/17443_96square.jpg;
Skratta;Laugh;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9527_96square.jpeg;
Hoppfull;Hopeful;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8916_96square.jpg;
Djup;Deep;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9692_96square.jpg;
grund;Shallow;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8463_96square.jpg;
Tangentbord;Keyboard;https://d1pra95f92lrn3.cloudfront.net/media/thumb/10119_96square.jpg;
Bokföring;Accounting;https://d1pra95f92lrn3.cloudfront.net/media/thumb/21929_96square.jpg;
